#{"t_start": 1787652271.4708126, "env_id": "None"}
r,l,t
5.39697,50,90.197064
7.669697,50,174.299442
5.05,50,263.091765
6.678788,50,348.773124
6.204546,50,434.864548
5.098485,50,514.968752
5.448485,50,596.600134
5.413636,50,678.358553
5.690909,50,761.323411
5.207576,50,841.524885
4.640909,50,923.368183
6.489394,50,1002.209949
4.136364,50,1085.315462
7.739394,50,1165.319188
3.639394,50,1247.153305
4.55303,50,1325.064108
4.99697,50,1406.555067
4.448485,50,1486.694597
6.893939,50,1567.247216
5.972727,50,1651.349881
6.39697,50,1737.110412
7.789394,50,1825.287892
6.648485,50,1912.494908
8.148485,50,1994.337165
4.615152,50,2084.045812
6.307576,50,2175.726365
7.360606,50,2271.529896
7.056061,50,2380.269076
9.4,50,2486.970082
9.004546,50,2610.33147
8.718182,50,2734.249503
6.928788,50,2839.030441
6.842424,50,2924.423409
8.625758,50,3005.050082
8.233333,50,3090.716091
7.5,50,3167.815597
6.65,50,3243.890409
7.99394,50,3317.743395
7.5,50,3392.13955
9.465152,50,3465.802783
7.340909,50,3537.997397
8.595455,50,3609.95178
7.781818,50,3682.801767
9.686364,50,3754.240523
8.178788,50,3854.373482
5.933333,50,4059.429771
10.075758,50,4255.111022
7.871212,50,4446.902996
7.545455,50,4640.667773
8.159091,50,4832.469126
9.009091,50,5021.750925
9.062121,50,5215.302243
9.413636,50,5408.255508
9.342424,50,5595.630476
8.4,50,5785.208182
6.895455,50,5978.606287
7.430303,50,6169.618696
9.524243,50,6358.190495
7.639394,50,6550.13321
9.124243,50,6740.123075
7.337879,50,6934.897974
6.293939,50,7087.087986
9.019697,50,7226.685464
6.70303,50,7372.842595
7.404546,50,7525.203863
7.792424,50,7678.597956
9.937879,50,7831.895274
9.790909,50,7983.461833
8.590909,50,8136.670737
8.792424,50,8288.633454
9.148485,50,8442.655882
8.551515,50,8598.233013
8.245455,50,8753.281634
8.637879,50,8906.869859
7.310606,50,9061.913732
10.671212,50,9215.683051
9.136364,50,9368.126056
5.690909,50,9521.02496
10.921212,50,9676.442896
7.133333,50,9830.335025
9.251515,50,9986.459173
7.448485,50,10139.546125
9.586364,50,10293.846118
7.325758,50,10447.948992
10.277273,50,10602.937329
7.901515,50,10756.659331
9.356061,50,10911.553211
8.480303,50,11065.189165
11.507576,50,11220.108345
9.201515,50,11358.867457
8.475758,50,11498.42703
9.810606,50,11638.242043
6.833333,50,11776.731109
8.480303,50,11913.227578
10.215152,50,12052.469068
9.80303,50,12188.913936
8.692424,50,12327.739429
11.881818,50,12460.890628
8.431818,50,12601.916109
9.70303,50,12742.782588
