#{"t_start": 1787670314.5821102, "env_id": "None"}
r,l,t
2.178788,50,154.762116
0.386364,50,260.382869
1.519697,50,352.856386
1.569697,50,488.767087
1.086364,50,604.005801
1.313636,50,726.605431
1.54697,50,852.337384
1.736364,50,1014.442206
1.736364,50,1129.064741
1.59697,50,1249.219143
1.519697,50,1362.180664
1.35303,50,1477.906395
1.519697,50,1597.762985
1.940909,50,1718.352041
1.569697,50,1843.545385
1.763636,50,1968.102268
1.95303,50,2097.434808
1.736364,50,2226.25692
1.392424,50,2360.229911
1.942424,50,2491.681889
2.995455,50,2620.745197
2.680303,50,2754.505841
2.701515,50,2899.150414
2.513636,50,3037.686659
2.34697,50,3169.458743
3.124243,50,3302.691189
1.636364,50,3433.371951
2.119697,50,3562.226756
2.907576,50,3690.915738
3.734849,50,3820.482646
2.209091,50,3952.669041
2.809091,50,4084.035056
2.945455,50,4215.375312
2.859091,50,4347.689564
2.65303,50,4481.120839
2.425758,50,4626.460586
2.859091,50,4759.876246
2.425758,50,4886.611763
3.330303,50,5012.855412
3.763636,50,5136.412321
3.292424,50,5261.639202
3.675758,50,5387.77544
3.636364,50,5512.56577
3.725758,50,5639.010292
3.64697,50,5764.694535
3.509091,50,5888.554835
3.15303,50,6013.966201
3.736364,50,6140.971883
3.686364,50,6273.398103
3.636364,50,6397.68824
3.025758,50,6524.622137
3.686364,50,6655.253642
3.25303,50,6782.766397
3.125758,50,6917.552764
3.942424,50,7055.200016
3.509091,50,7185.602465
3.459091,50,7315.50919
3.636364,50,7444.345045
3.075758,50,7569.146191
3.636364,50,7695.334212
3.509091,50,7820.992189
3.54697,50,7944.609413
3.930303,50,8067.853338
3.725758,50,8190.417047
3.892424,50,8312.353645
3.725758,50,8440.600542
3.675758,50,8561.062109
3.419697,50,8681.353533
4.19697,50,8799.412221
3.942424,50,8917.706641
3.942424,50,9035.874694
3.85303,50,9152.702713
3.636364,50,9268.501721
3.675758,50,9384.205374
3.892424,50,9498.998983
3.725758,50,9615.006106
3.85303,50,9729.133419
3.725758,50,9842.263548
3.892424,50,9956.657855
3.725758,50,10069.201841
3.942424,50,10187.259341
3.725758,50,10305.586867
3.459091,50,10417.455456
3.292424,50,10531.039155
3.85303,50,10642.189555
3.675758,50,10756.150995
3.85303,50,10870.207215
3.892424,50,10982.356689
3.90303,50,11094.843343
4.14697,50,11209.491336
3.459091,50,11324.701341
4.069697,50,11438.501968
3.892424,50,11551.272668
3.459091,50,11665.005066
3.942424,50,11780.918613
3.892424,50,11894.960603
3.892424,50,12011.299585
3.892424,50,12128.451793
3.675758,50,12234.539936
3.892424,50,12343.978454
