#{"t_start": 1787642919.0506625, "env_id": "None"}
r,l,t
4.842424,50,87.605517
3.021212,50,197.52032
5.234849,50,296.437376
5.201515,50,370.692608
3.866667,50,449.77169
4.210606,50,523.75501
5.030303,50,604.453467
4.518182,50,682.898601
5.34697,50,756.503124
5.198485,50,826.86811
5.209091,50,896.735971
4.665152,50,986.221046
7.284849,50,1064.490943
6.601515,50,1138.321844
7.577273,50,1212.692765
7.681818,50,1285.513108
6.539394,50,1358.451991
9.034849,50,1441.927639
7.936364,50,1518.384289
7.959091,50,1599.039755
6.706061,50,1674.843076
6.775758,50,1752.465976
5.706061,50,1830.545956
6.928788,50,1910.460922
9.324243,50,1988.012347
8.681818,50,2087.043444
4.921212,50,2208.662194
6.818182,50,2302.774316
7.093939,50,2389.686641
8.089394,50,2461.769447
6.921212,50,2541.765979
8.290909,50,2626.678761
8.201515,50,2733.621877
6.183333,50,2841.644654
7.121212,50,2958.825418
6.277273,50,3055.855389
9.466667,50,3135.878067
5.654546,50,3223.38067
7.121212,50,3326.758051
9.34394,50,3420.016881
8.401515,50,3497.32578
7.831818,50,3578.037047
9.501515,50,3659.752484
8.837879,50,3741.913653
7.437879,50,3824.390377
6.415152,50,3903.958605
10.237879,50,3984.601065
9.327273,50,4063.367109
6.415152,50,4149.02066
8.557576,50,4227.091098
7.283333,50,4308.614867
8.078788,50,4388.589797
8.848485,50,4470.679312
8.225758,50,4553.113867
6.334849,50,4631.156163
7.283333,50,4716.284458
8.75,50,4795.579365
7.210606,50,4875.442382
7.183333,50,4953.410462
7.689394,50,5034.066477
7.668182,50,5113.015239
8.668182,50,5195.684837
8.545455,50,5275.884469
8.630303,50,5352.473916
7.615152,50,5431.238708
10.115152,50,5550.561699
9.825758,50,5669.338027
7.74697,50,5800.342144
6.566667,50,5931.487786
6.654546,50,6055.315233
5.968182,50,6180.484308
8.684849,50,6305.494018
8.021212,50,6434.294918
5.910606,50,6564.577528
7.909091,50,6689.196076
7.834849,50,6785.992837
7.537879,50,6869.194166
7.959091,50,6952.340221
9.868182,50,7064.491082
9.301515,50,7164.972106
8.810606,50,7261.76248
6.615152,50,7365.615733
9.29697,50,7462.929887
6.466667,50,7567.371213
6.287879,50,7669.641116
8.745455,50,7748.480696
8.984849,50,7828.861871
10.539394,50,7914.951799
7.669697,50,7998.782766
7.666667,50,8085.486209
7.654546,50,8170.996631
8.413636,50,8257.150144
10.365152,50,8357.606803
9.54697,50,8459.111102
6.162121,50,8550.499731
8.448485,50,8646.246232
8.348485,50,8748.898367
10.419697,50,8836.671373
7.098485,50,8925.205143
9.95,50,9013.237218
