#{"t_start": 1787725707.6512015, "env_id": "None"}
r,l,t
0.683333,50,107.351085
0.533333,50,225.675392
0.533333,50,319.606076
0.533333,50,424.286149
0.533333,50,562.7042
0.583333,50,697.949162
0.683333,50,833.927797
0.483333,50,912.077446
0.683333,50,987.29474
0.483333,50,1063.782958
0.583333,50,1143.698392
0.733333,50,1254.697069
0.683333,50,1356.117052
0.533333,50,1456.355088
0.583333,50,1550.792744
0.683333,50,1658.428658
0.583333,50,1766.951908
0.633333,50,1862.571115
0.633333,50,1942.572818
0.583333,50,2021.789503
