#{"t_start": 1787728246.0151324, "env_id": "None"}
r,l,t
3.65,7,15.728602
3.65,5,30.305636
3.7,8,47.255172
3.6,3,53.52889
3.45,13,81.681675
3.7,3,87.921086
3.7,8,108.072461
3.65,8,124.510839
3.55,10,147.123244
3.4,14,178.341078
3.8,4,186.901911
2.6,29,250.379997
3.75,6,263.39889
3.8,4,272.376623
3.3,19,321.788826
3.7,6,334.136098
3.7,5,349.527126
3.7,9,369.919706
2.95,23,429.686762
2.6,31,511.135791
3.6,11,540.008676
3.65,8,562.25847
3.5,10,586.02899
3.7,7,606.706948
3.65,6,620.078817
3.55,10,645.765806
3.8,5,658.850205
3.8,3,669.115613
3.3,18,715.91309
3.7,3,722.840774
3.65,6,740.402929
3.75,7,756.951136
3.7,7,777.488194
3.65,5,789.716619
3.4,15,830.774093
3.65,6,849.133933
3.65,7,866.798264
3.8,4,876.121295
3.35,13,910.176993
3.8,5,925.823729
3.8,3,932.7951
3.75,5,944.888722
3.8,3,957.079547
3.7,6,972.284109
3.6,9,997.84529
3.7,7,1015.638846
3.75,4,1028.932879
3.65,7,1046.329451
3.35,14,1084.081553
3.8,5,1099.818104
3.45,12,1132.685769
3.4,12,1164.987978
3.65,7,1183.7693
3.6,8,1212.058936
3.75,6,1228.813281
3.55,10,1262.115219
3.65,8,1289.267914
3.5,10,1319.631465
3.5,10,1349.826283
3.5,9,1381.897931
3.25,19,1458.969898
3.55,9,1486.649676
3.35,14,1528.387395
2.7,31,1625.726868
3.4,14,1668.196222
3.8,2,1674.245524
3.6,8,1699.485892
3.75,6,1715.764168
3.75,7,1738.371426
3.35,18,1790.011089
3.8,4,1804.322315
3.7,7,1823.050134
3.4,12,1859.829889
3.75,5,1876.964837
3.7,4,1888.103293
3.65,8,1913.646772
3.7,3,1922.461467
3.7,6,1942.826894
3.25,14,1984.412325
3.8,5,1997.624771
3.8,4,2009.457075
3.55,4,2025.980426
3.75,5,2039.338378
3.7,5,2057.099916
3.8,5,2070.391449
3.3,11,2105.833999
3.8,2,2111.945402
3.6,10,2143.882504
3.75,4,2159.262093
3.6,9,2185.073229
3.65,8,2211.081673
3.7,6,2232.033379
3.6,2,2237.933862
3.6,9,2268.247762
3.8,6,2285.61202
3.5,11,2323.003035
3.65,8,2350.169034
3.5,10,2384.530858
3.8,4,2395.897283
3.7,7,2421.217344
3.5,10,2455.051585
3.6,8,2482.217099
3.7,2,2488.319884
3.6,7,2513.167661
3.75,8,2537.537409
3.7,6,2559.991148
3.75,5,2575.870964
3.65,8,2602.819652
3.8,4,2614.462061
3.05,20,2684.593842
3.55,10,2718.998619
3.8,4,2733.642691
3.45,11,2772.130702
3.25,17,2827.515734
3.8,3,2841.167055
3.65,7,2860.861959
3.65,11,2898.028336
3.75,7,2922.239737
