#{"t_start": 1787598364.5449593, "env_id": "None"}
r,l,t
1.163636,50,145.099539
1.519697,50,279.695853
4.766667,50,420.553254
2.074242,50,559.792486
2.074242,50,692.779846
2.786364,50,828.336595
3.301515,50,961.344259
5.677273,50,1095.913105
3.539394,50,1234.643065
4.727273,50,1378.083079
2.668182,50,1523.597912
5.083333,50,1666.586754
5.043939,50,1809.095907
2.984849,50,1954.90283
4.172727,50,2099.066984
3.578788,50,2241.970727
5.083333,50,2387.17756
3.578788,50,2531.459957
6.509091,50,2679.261703
5.677273,50,2826.564132
3.618182,50,2971.135647
3.895455,50,3114.718138
5.321212,50,3263.213475
4.845455,50,3408.565253
4.45,50,3554.819067
5.360606,50,3701.95496
4.489394,50,3846.306165
5.043939,50,3989.945089
6.192424,50,4136.468636
6.627273,50,4278.522612
5.043939,50,4424.220996
4.45,50,4569.230093
6.192424,50,4717.026871
4.727273,50,4845.083528
5.677273,50,4941.497773
4.766667,50,5028.097855
5.4,50,5109.604595
5.4,50,5192.073332
5.360606,50,5300.687437
6.271212,50,5384.465372
6.548485,50,5466.301929
5.954546,50,5553.334646
5.954546,50,5633.117329
6.271212,50,5701.629565
4.528788,50,5772.460625
6.221212,50,5847.803787
5.360606,50,5933.361564
5.677273,50,6016.405807
7.142424,50,6098.776166
3.845455,50,6186.221643
6.865152,50,6279.34272
3.895455,50,6358.692748
4.439394,50,6435.332893
7.498485,50,6512.19986
7.69697,50,6592.848438
7.221212,50,6674.70398
5.637879,50,6755.970967
7.142424,50,6837.859333
4.806061,50,6919.682557
4.251515,50,7000.984213
4.528788,50,7083.2073
6.865152,50,7164.684133
6.310606,50,7251.784251
5.201515,50,7339.533269
3.657576,50,7429.993049
5.637879,50,7521.345042
2.74697,50,7603.910341
6.310606,50,7696.218182
7.69697,50,7780.201391
6.033333,50,7864.455177
5.627273,50,7954.671754
4.251515,50,8080.556252
7.181818,50,8211.754813
5.4,50,8338.348404
4.806061,50,8474.468219
4.766667,50,8608.260465
5.360606,50,8741.886888
4.290909,50,8876.843301
5.637879,50,9010.577102
4.845455,50,9127.582021
5.993939,50,9243.096762
6.548485,50,9348.648826
3.934849,50,9462.507975
2.707576,50,9583.496343
4.727273,50,9743.21654
5.993939,50,9901.31933
4.489394,50,10062.526044
4.568182,50,10223.018406
5.360606,50,10381.846591
4.845455,50,10545.333242
3.340909,50,10706.503562
5.993939,50,10867.390464
5.162121,50,11029.814313
4.806061,50,11190.445876
5.083333,50,11354.301824
5.993939,50,11512.130804
5.677273,50,11674.864843
2.707576,50,11837.728387
5.043939,50,11986.442031
5.993939,50,12140.539815
5.598485,50,12300.23125
4.766667,50,12453.422568
6.587879,50,12608.122954
5.360606,50,12764.085046
5.122727,50,12919.04392
5.083333,50,13076.327112
5.954546,50,13233.924523
6.548485,50,13393.241769
6.271212,50,13551.317134
4.172727,50,13706.009655
4.489394,50,13863.544198
5.360606,50,14019.31356
5.4,50,14172.161522
5.4,50,14329.049196
6.865152,50,14485.524254
7.221212,50,14641.117595
5.360606,50,14797.86063
4.251515,50,14952.821262
6.310606,50,15108.742342
8.013636,50,15264.030086
5.716667,50,15423.449455
5.637879,50,15576.423009
6.904546,50,15731.330583
5.993939,50,15887.415561
7.142424,50,16042.675692
5.677273,50,16199.123546
3.934849,50,16356.967291
7.142424,50,16515.415812
6.310606,50,16671.063707
6.904546,50,16826.556459
6.865152,50,16984.168135
4.528788,50,17136.286169
6.271212,50,17293.887476
5.587879,50,17451.459379
6.587879,50,17608.583395
4.806061,50,17764.712574
4.489394,50,17922.217983
6.35,50,18079.519463
5.954546,50,18235.879462
5.122727,50,18390.369985
7.459091,50,18546.284189
3.301515,50,18703.029835
6.627273,50,18858.380466
5.627273,50,19014.178471
5.439394,50,19170.682519
5.954546,50,19327.508811
5.954546,50,19487.268096
4.212121,50,19644.95099
4.172727,50,19799.648505
6.271212,50,19952.475238
4.45,50,20106.453676
3.618182,50,20258.287818
5.637879,50,20407.028679
4.133333,50,20561.734387
5.637879,50,20716.593793
4.45,50,20866.714334
5.637879,50,21019.598098
5.439394,50,21171.347337
5.598485,50,21324.299873
4.172727,50,21475.35147
3.856061,50,21626.123773
6.548485,50,21779.055435
6.271212,50,21933.278324
5.637879,50,22086.401943
5.954546,50,22241.423669
6.786364,50,22394.976479
4.766667,50,22543.689023
5.043939,50,22694.786498
7.380303,50,22852.268927
4.727273,50,23005.920871
4.766667,50,23156.539436
3.816667,50,23312.481144
4.033333,50,23468.885002
7.419697,50,23620.126623
6.192424,50,23769.354837
6.786364,50,23922.907717
5.486364,50,24075.200737
7.44697,50,24225.921787
7.142424,50,24375.677347
6.409091,50,24527.787336
7.69697,50,24685.040919
6.725758,50,24836.641489
8.013636,50,24992.660832
7.789394,50,25145.397954
8.328788,50,25296.925823
8.8,50,25445.900009
10.781818,50,25599.425758
9.018182,50,25754.624813
8.039394,50,25906.062038
9.369697,50,26059.939237
9.687879,50,26214.805243
8.612121,50,26366.877733
8.256061,50,26519.961575
